method,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score
Supervised,0.01,0,1515,0.7766490765171504,0.7732340657872974,0.8507980478759195,0.8809929172553457,0.7327108942479121,0.8352827686000242,0.18493896084127448,0.39709960528378363
Supervised,0.05,0,7579,0.7921108179419525,0.7871447454500701,0.8721236740595996,0.8990723569735403,0.7355259453880079,0.8741709875798866,0.1779733941878996,0.3779086923001732
Supervised,0.1,0,15159,0.8067810026385225,0.8045278959989752,0.8834602857769673,0.9128568122089712,0.749882706202496,0.8789340407572651,0.16200679678872892,0.3467828661118042
Supervised,0.25,0,37899,0.8353825857519789,0.8329871091181035,0.9110253338082754,0.934977246267404,0.7916862156329173,0.8967804172193417,0.1285923540041755,0.28634504135427635
Supervised,0.5,0,75799,0.86844327176781,0.866273197672033,0.9383201322909969,0.9524990414265785,0.8409965281035939,0.9075726516339081,0.10567493017241952,0.2316882160998531
Supervised,1.0,0,151599,0.913641160949868,0.9124748603278047,0.9699201025145244,0.9768143617780536,0.8894623252322417,0.9415772338116484,0.06681073689209131,0.14975778238353282
Supervised,0.01,1,1515,0.7778100263852242,0.7752754589442138,0.8547138716252297,0.8913470878159587,0.7227020937001221,0.8466682732859381,0.1876010566635308,0.3997913526756491
Supervised,0.05,1,7579,0.7987335092348284,0.7962093368365237,0.8736916757071056,0.9027675372077677,0.7396488592620412,0.8699843354621039,0.1732167463472462,0.36734781908538006
Supervised,0.1,1,15159,0.8041952506596306,0.8020307009191413,0.8814759726230176,0.9123334812770739,0.745657684724439,0.8857693698035908,0.16544195115408983,0.35148342466291144
Supervised,0.25,1,37899,0.8315303430079156,0.8291978177470476,0.9069370943957116,0.9307836168340857,0.7929771852408225,0.8859501144716231,0.13444131643287738,0.296752256957326
Supervised,0.5,1,75799,0.868575197889182,0.8669513779007987,0.9368465442188524,0.9506676887318717,0.840061966012581,0.9020966381491746,0.10571884169427578,0.23269388390146176
Supervised,1.0,1,151599,0.9097097625329815,0.9081875945245759,0.9676061566499721,0.974070142456016,0.897098863956436,0.9286661043499217,0.06932912412765477,0.15666138230391816
Supervised,0.01,2,1515,0.778311345646438,0.7759363240292712,0.8537512512853516,0.888408893580736,0.7443746484155259,0.8230323515210043,0.18329487409472153,0.39405374101749324
Supervised,0.05,2,7579,0.8001055408970976,0.7969536680129818,0.8773473766875036,0.9039390781779649,0.7516876054753422,0.862928536938677,0.17062356115488392,0.3621865039847201
Supervised,0.1,2,15159,0.8068337730870713,0.8040902890431125,0.8855198992172042,0.9115434839151396,0.759422463903994,0.8721632061805891,0.16120708449220283,0.3450000734878937
Supervised,0.25,2,37899,0.8330870712401055,0.8298746494411057,0.9102854942889508,0.9298325253657439,0.812160135008438,0.8725253500724288,0.1359102259100584,0.2962886008609927
Supervised,0.5,2,75799,0.8705804749340369,0.8687935319167555,0.939784638410223,0.952001980147944,0.8502718919932496,0.899625784645099,0.10746957415798407,0.23195422243903474
Supervised,1.0,2,151599,0.9147493403693931,0.9132995258061827,0.9711714736954377,0.9771665188617921,0.8941027564222764,0.9406084017382906,0.06408776044373779,0.14697770726424358
